"scrape_datetime","data_date","brand","model","value"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","比亚迪","全部车型","59760.71354242584"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","比亚迪","海豹05DM","21.73460291936413"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","比亚迪","宋Pro DM","3485.0090940194127"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","吉利汽车","全部车型","37797.83880816552"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","吉利汽车","星愿","2869.6364311864345"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","吉利汽车","星越L","11050.503217555446"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","理想汽车","全部车型","5914.809578679339"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","理想汽车","理想L6","3041.448810507956"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","理想汽车","理想L7","1306.615676672009"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","理想汽车","理想L8","686.2352764860852"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","理想汽车","理想L9","725.8974761233749"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","腾势","腾势N7","225.6717376835481"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","蔚来","全部车型","3331.505569261807"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","蔚来","蔚来ET5","249.81355114415052"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","小鹏汽车","全部车型","4906.595031355024"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","小鹏汽车","小鹏MONA M03","2148.767826254579"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","小鹏汽车","小鹏P7+","409.8233794921268"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","小鹏汽车","小鹏G6","919.7913868815506"
"2025-02-26 11:08:18.889342+00:00","2025-02-26","小鹏汽车","小鹏G9","467.30536013306624"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","比亚迪","全部车型","30892.332383559624"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","比亚迪","海豹05DM","0.0"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","比亚迪","宋Pro DM","2557.244205746395"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","吉利汽车","全部车型","29198.74808429545"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","吉利汽车","星愿","0.0"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","吉利汽车","星越L","6508.446767506299"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","理想汽车","全部车型","2191.49979979048"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","理想汽车","理想L6","0.43852631049209984"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","理想汽车","理想L7","962.7861263505885"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","理想汽车","理想L8","665.5127911556409"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","理想汽车","理想L9","493.51837515377633"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","腾势","腾势N7","61.86306262147451"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","蔚来","全部车型","533.49669803069"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","蔚来","蔚来ET5","150.95497351979506"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","小鹏汽车","全部车型","1737.2486564402807"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","小鹏汽车","小鹏MONA M03","0.0"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","小鹏汽车","小鹏P7+","0.0"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","小鹏汽车","小鹏G6","447.65586652656197"
"2025-02-26 11:08:18.889342+00:00","2024-02-26","小鹏汽车","小鹏G9","257.3408426769276"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","比亚迪","全部车型","18175.79591522139"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","比亚迪","海豹05DM","0.0"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","比亚迪","宋Pro DM","1077.3901966747087"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","吉利汽车","全部车型","15424.550968288859"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","吉利汽车","星愿","0.0"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","吉利汽车","星越L","3205.9368538071662"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","理想汽车","全部车型","517.9222103543832"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","理想汽车","理想L6","0.0"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","理想汽车","理想L7","31.978161140211817"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","理想汽车","理想L8","84.69079523393249"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","理想汽车","理想L9","161.3000213261706"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","腾势","腾势N7","0.0"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","蔚来","全部车型","322.37516807630277"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","蔚来","蔚来ET5","94.38550459534893"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","小鹏汽车","全部车型","866.4851020474651"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","小鹏汽车","小鹏MONA M03","0.0"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","小鹏汽车","小鹏P7+","0.0"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","小鹏汽车","小鹏G6","0.0"
"2025-02-26 11:08:18.889342+00:00","2023-02-26","小鹏汽车","小鹏G9","67.63323294242511"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","比亚迪","全部车型","13542.782166898245"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","比亚迪","海豹05DM","0.0"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","比亚迪","宋Pro DM","314.4686023866383"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","吉利汽车","全部车型","15590.990080241121"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","吉利汽车","星愿","0.0"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","吉利汽车","星越L","2259.9049708717675"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","理想汽车","全部车型","409.67386527226387"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","理想汽车","理想L6","0.0"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","理想汽车","理想L7","0.0"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","理想汽车","理想L8","0.0"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","理想汽车","理想L9","0.0"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","腾势","腾势N7","0.0"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","蔚来","全部车型","239.4869439615931"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","蔚来","蔚来ET5","12.050771117379995"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","小鹏汽车","全部车型","840.8604507446086"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","小鹏汽车","小鹏MONA M03","0.0"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","小鹏汽车","小鹏P7+","0.0"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","小鹏汽车","小鹏G6","0.0"
"2025-02-26 11:08:18.889342+00:00","2022-02-26","小鹏汽车","小鹏G9","0.7673432786928073"
